trial,seed,layers,hidden_size,dropout,learning_rate,batch_size,epochs_run,best_threshold,test_accuracy,test_precision,test_recall,test_f1,num_params,training_time_seconds
1,1100,1,64,0.2,0.0028,32,24,0.6700000000000002,0.87,0.6542893725992317,0.6186440677966102,0.6359676415681393,15857,61.75877380371094
2,1101,1,64,0.2,0.0028,32,27,0.6700000000000002,0.8913333333333333,0.7345399698340875,0.60875,0.6657552973342447,15857,82.28728485107422
3,1102,1,64,0.2,0.0028,32,19,0.6900000000000002,0.8846666666666667,0.6747572815533981,0.6889714993804213,0.6817903126916003,15857,59.06410789489746
4,1103,1,64,0.2,0.0028,32,17,0.7000000000000002,0.8286666666666667,0.5422446406052963,0.513126491646778,0.5272838749233599,15857,51.14138388633728
5,1104,1,64,0.2,0.0028,32,8,0.5300000000000001,0.7324444444444445,0.3633720930232558,0.6038647342995169,0.4537205081669691,15857,24.01357078552246
6,1105,1,64,0.2,0.0028,32,17,0.6600000000000001,0.7784444444444445,0.4059869036482694,0.5452261306532663,0.46541554959785525,15857,49.26283001899719
7,1106,1,64,0.2,0.0028,32,14,0.6700000000000002,0.85,0.5991735537190083,0.5311355311355311,0.5631067961165048,15857,40.55936789512634
8,1107,1,64,0.2,0.0028,32,20,0.8000000000000002,0.8866666666666667,0.7906066536203522,0.5006195786864932,0.6130500758725341,15857,60.98878288269043
9,1108,1,64,0.2,0.0028,32,14,0.6800000000000002,0.8748888888888889,0.7107843137254902,0.5298416565164433,0.6071179344033496,15857,40.992719888687134
10,1109,1,64,0.2,0.0028,32,18,0.6200000000000001,0.8408888888888889,0.5547866205305652,0.593094944512947,0.5733015494636472,15857,53.037944078445435
1,1200,2,64,0.2,0.0028,32,12,0.6200000000000001,0.8197777777777778,0.5167630057803468,0.5321428571428571,0.5243401759530791,40817,71.75279211997986
2,1201,2,64,0.2,0.0028,32,22,0.7100000000000002,0.8844444444444445,0.8193548387096774,0.4663402692778458,0.594383775351014,40817,126.89144206047058
3,1202,2,64,0.2,0.0028,32,13,0.6300000000000001,0.8535555555555555,0.5756853396901073,0.6145038167938931,0.5944615384615385,40817,76.21712112426758
4,1203,2,64,0.2,0.0028,32,15,0.5900000000000001,0.8806666666666667,0.7529610829103215,0.5322966507177034,0.6236860546601262,40817,86.89642691612244
5,1204,2,64,0.2,0.0028,32,11,0.6700000000000002,0.8266666666666667,0.4941329856584094,0.4915693904020752,0.4928478543563069,40817,62.16165614128113
6,1205,2,64,0.2,0.0028,32,12,0.4800000000000001,0.6628888888888889,0.29373902867173785,0.6182266009852216,0.3982546608488695,40817,65.62116479873657
7,1206,2,64,0.2,0.0028,32,19,0.7200000000000001,0.8815555555555555,0.7477954144620811,0.5208845208845209,0.6140477914554671,40817,107.30292701721191
8,1207,2,64,0.2,0.0028,32,15,0.6500000000000001,0.8722222222222222,0.6666666666666666,0.6211031175059952,0.6430788330229671,40817,89.66076993942261
9,1208,2,64,0.2,0.0028,32,17,0.6300000000000001,0.8506666666666667,0.6416382252559727,0.4486873508353222,0.5280898876404494,40817,96.63011288642883
10,1209,2,64,0.2,0.0028,32,16,0.5300000000000001,0.7322222222222222,0.3754889178617992,0.6998784933171325,0.4887568943572338,40817,92.06589603424072
1,1300,3,64,0.2,0.0028,32,11,0.6200000000000001,0.8166666666666667,0.5067873303167421,0.5352449223416965,0.5206275421266705,65777,94.45736694335938
2,1301,3,64,0.2,0.0028,32,7,0.5100000000000001,0.8302222222222222,0.5196078431372549,0.5326633165829145,0.5260545905707196,65777,58.09123873710632
3,1302,3,64,0.2,0.0028,32,16,0.7200000000000001,0.8753333333333333,0.7586206896551724,0.4940898345153664,0.5984251968503937,65777,128.82033681869507
4,1303,3,64,0.2,0.0028,32,30,0.5200000000000001,0.7544444444444445,0.3555370524562864,0.5633245382585752,0.43593670239918325,65777,233.46918606758118
5,1304,3,64,0.2,0.0028,32,12,0.5900000000000001,0.8711111111111111,0.6494178525226391,0.6189889025893958,0.6338383838383839,65777,88.93500590324402
6,1305,3,64,0.2,0.0028,32,17,0.44000000000000006,0.7135555555555556,0.3308011049723757,0.5994993742177722,0.4263462394303516,65777,123.6060061454773
7,1306,3,64,0.2,0.0028,32,14,0.7300000000000001,0.8868888888888888,0.7123695976154992,0.6020151133501259,0.6525597269624573,65777,100.04290223121643
8,1307,3,64,0.2,0.0028,32,13,0.6100000000000001,0.8866666666666667,0.7191011235955056,0.5721583652618135,0.6372688477951636,65777,90.32832098007202
9,1308,3,64,0.2,0.0028,32,13,0.6700000000000002,0.8395555555555556,0.5748407643312102,0.4424019607843137,0.5,65777,93.93674802780151
10,1309,3,64,0.2,0.0028,32,13,0.7700000000000001,0.8788888888888889,0.6900763358778625,0.5692695214105793,0.6238785369220152,65777,93.09130907058716
1,1400,4,64,0.2,0.0028,32,10,0.6000000000000001,0.8571111111111112,0.6219931271477663,0.46114649681528663,0.5296269202633505,90737,95.48667025566101
2,1401,4,64,0.2,0.0028,32,28,0.6900000000000002,0.8337777777777777,0.547244094488189,0.5085365853658537,0.527180783817952,90737,269.6365361213684
3,1402,4,64,0.2,0.0028,32,8,0.7500000000000001,0.8544444444444445,0.6938775510204082,0.3704600484261501,0.48303078137332284,90737,73.96796703338623
4,1403,4,64,0.2,0.0028,32,14,0.7300000000000001,0.8437777777777777,0.5649072753209701,0.4987405541561713,0.5297658862876254,90737,131.3557140827179
5,1404,4,64,0.2,0.0028,32,21,0.5300000000000001,0.8077777777777778,0.46598639455782315,0.5105590062111801,0.4872554831061055,90737,197.52554607391357
6,1405,4,64,0.2,0.0028,32,10,0.5900000000000001,0.8495555555555555,0.616,0.5428907168037603,0.5771392879450343,90737,92.97403717041016
7,1406,4,64,0.2,0.0028,32,19,0.5900000000000001,0.7695555555555555,0.42339075249320035,0.5380184331797235,0.47387113140537795,90737,180.3011531829834
8,1407,4,64,0.2,0.0028,32,14,0.6000000000000001,0.8411111111111111,0.5904628330995793,0.49881516587677727,0.5407835581245986,90737,118.49423503875732
9,1408,4,64,0.2,0.0028,32,13,0.5900000000000001,0.8375555555555556,0.5722300140252454,0.4892086330935252,0.5274725274725275,90737,105.1929919719696
10,1409,4,64,0.2,0.0028,32,10,0.7600000000000001,0.8588888888888889,0.6734279918864098,0.4119106699751861,0.5111624326404927,90737,83.80747699737549
1,1500,5,64,0.2,0.0028,32,18,0.7400000000000001,0.8615555555555555,0.6498316498316499,0.4818976279650437,0.5534050179211469,115697,168.57169723510742
